0301 301 009,DICHTUNG,1.98
0301 301 010,HALTEWINKEL,1.34
0301 301 012,DICHTUNG,8.64
0301 301 017,UEBERWURFMUTTE,3.46
0301 301 018,VERSCHLUSSKAPPE,2.11
0301 302 001,AUSSENLAMELLE,2.50
0301 302 004,ENDLAMELLE,17.66
0301 302 020,ANLAUFSCHEIBE,0.38
0301 302 031,TELLERFEDER,9.28
0301 302 037,AUSSENLAMELLE,12.86
0301 302 040,RUNDDICHTRING,2.18
0301 302 041,ANLAUFSCHEIBE,0.90
0301 302 043,SPRENGRING,1.73
0301 302 047,SCHEIBE,2.62
0301 302 051,STUETZRING,0.51
0301 302 052,SPRENGRING,0.32
0301 302 053,SPRENGRING,0.64
0301 302 054,SICHERG.SCHEIBE,0.32
0301 302 059,RUNDDICHTRING,5.95
0301 302 060,RUNDDICHTRING,9.15
0301 302 061,RUNDDICHTRING,8.26
0301 306 014,ROLLE,0.83
0301 306 022,VERBIND.STANGE,3.39
0301 306 035,PLOMBE,0.32
0301 308 002,STELLSCHRAUBE,0.32
0301 314 005,WINKELSCHEIBE,1.73
0301 314 011,SPRENGRING,0.38
0301 314 012,SPRENGRING,2.88
0301 317 002,KOLBEN,32.83
0301 317 003,TELLERFEDER,4.03
0301 317 011,KOLBEN,41.02
0301 317 013,AUSSENLAMELLE,3.20
0301 317 015,SPRENGRING,1.15
0301 317 016,PASSFEDER,0.96
0301 317 017,ENDLAMELLE,32.83
0301 322 013,SCHUTZGITTER,1.28
0301 322 019,WANDLERGLOCKE,213.76
0301 323 012,DECKEL,24.19
0301 323 013,DICHTUNG,4.10
0301 323 017,GEHAEUSE,31.17
0301 323 024,WAEHLSCHIEBER,6.78
0301 323 029,KUPPLUNGSVENTIL,2.94
0301 323 039,BLENDE,0.45
0301 323 045,DRUCKFEDER,0.32
0301 323 055,KUPPLUNGSVENTIL,2.11
0301 323 057,KUPPLUNGSVENTIL,3.20
0301 323 058,FUEHRUNGSHUELSE,1.02
0301 323 075,DICHTUNG,1.34
0301 323 081,VENTILKOLBEN,11.01
0301 323 085,DRUCKFEDER,0.38
0301 323 087,DRUCKFEDER,0.38
0301 323 090,DRUCKFEDER,1.02
0301 323 091,DRUCKFEDER,0.38
0301 323 092,VENTILBLENDE,1.02
0301 323 093,VENTILBLENDE,0.64
0301 323 094,VENTILBLENDE,0.96
0301 323 095,VENTILBLENDE,0.96
0301 323 096,VENTILBLENDE,0.96
0301 323 097,VENTILBLENDE,0.90
0301 323 101,DRUCKFEDER,0.51
0301 323 118,DRUCKFEDER,1.15
0301 324 005,BOLZEN,1.41
0301 324 006,SCHENKELFEDER,1.28
0301 324 008,SCHEIBE,0.32
0301 324 009,KLINKE,3.39
0301 325 008,GETR.VERLAENGG.,115.84
0301 331 002,KOLBEN,31.04
0301 331 006,HALTERING,0.38
0301 331 031,TELLERFEDER,5.44
0301 332 015,SPRENGRING,1.98
0301 332 020,AXIALSCHEIBE,0.58
0301 332 025,AXIALSCHEIBE,1.02
0301 332 035,HOHLRAD,157.44
0301 332 036,HOHLRAD,110.08
0301 333 005,FUEHRUNGSBOLZE,6.02
0301 333 012,BUCHSE,6.08
0501 004 186,OELKUEHLER,377.60
0501 004 608,FILTER,22.72
0501 004 609,FILTER,22.14
0501 004 925,FILTER,19.84
0501 005 184,FILTER,32.19
0501 005 185,FILTER,19.58
0501 005 333,WANDLER,446.72
0501 005 404,WANDLER,477.44
0501 005 614,WANDLER,477.44
0501 005 998,FILTER,19.90
0501 006 460,FILTER,18.43
0501 006 994,FILTER,17.92
0501 204 691,FREILAUFKAEFIG,31.36
0501 204 819,DIFFERENTIAL,473.60
0501 205 127,ANTRIEBSWELLE,88.32
0501 206 537,OELWANNE,32.83
0501 206 647,FREILAUF,37.70
0501 206 770,OELKUEHLER,177.92
0501 206 934,TACHOGEBER,45.44
0501 206 997,DRUCKREGLER,418.56
0501 207 060,FREILAUFKAEFIG,25.41
0501 207 061,FREILAUFKAEFIG,29.95
0501 207 086,FREILAUF,31.10
0501 207 101,FREILAUF,23.74
0501 207 393,FREILAUF,23.42
0501 207 448,SCHALTER,66.56
0501 207 453,SCHALTER,149.76
0501 207 547,TACHOHUELSE,5.06
0501 207 548,SCHALTER,160.00
0501 207 662,OELKUEHLER,153.60
0501 207 669,OELKUEHLER,225.28
0501 207 684,ANTRIEBSWELLE,114.56
0501 207 753,SCHALTER,149.76
0501 208 136,FREILAUF,31.17
0501 208 143,SCHALTER,143.36
0501 208 151,FREILAUF,22.91
0501 208 220,SCHALTER,70.40
0501 208 353,DRUCKREGLER,114.56
0501 208 413,SCHALTER,143.36
0501 208 496,SCHALTER,128.00
0501 208 542,DRUCKREGLER,74.24
0501 208 543,TACHOGEBER,12.80
0501 208 616,KOLBEN,16.32
0501 208 640,OELBEHAELTER,20.99
0501 208 727,BREMSBAND,28.42
0501 208 747,BREMSBAND,14.46
0501 208 766,ENTLUEFTER,4.74
0501 208 833,BREMSBAND,29.95
0501 208 844,ENTLUEFTER,4.29
0501 208 847,BREMSBAND,15.74
0501 208 862,SCHALTER,152.32
0501 208 881,BREMSBAND,14.59
0501 208 900,SCHALTER,139.52
0501 208 938,SCHALTER,124.80
0501 209 079,SCHALTER,428.80
0501 209 251,FILTER,16.64
0501 209 253,O-RING,1.66
0501 209 411,ARRETIERBUCHSE,6.85
0501 209 535,SCHALTER,136.96
0501 209 606,WAERMETAUSCHER,131.84
0501 209 688,INDUKTIVGEBER,41.02
0501 209 749,FILTER,0.58
0501 209 800,HALTEBUEGEL,36.93
0501 209 875,DRUCKREGLER,74.24
0501 209 919,SCHALTER,27.78
0501 209 925,WAERMETAUSCHER,128.00
0501 209 948,DRUCKREGLER,53.25
0501 209 953,SCHALTER,112.00
0501 209 956,SCHALTER,103.68
